inv_comp,inv_store,sku,ORD,quantity-purchased,Bin Location,product-id,ship-service-level,DESCRIPTION,order-id,purchase-date,link
0,7,OT_SOFT REGGAE BRAID_4,2,2,nan,827298831051,Standard,KXSRB,111-2387825-7956255,2023-10-28T22:07:01+00:00,https://sellercentral.amazon.com/orders-v3/order/111-2387825-7956255
53,0,BY_MASTA_BT4007,1,1,F03,885160266066,Standard,MASTA,111-0814390-6514619,2023-10-29T00:11:20+00:00,https://sellercentral.amazon.com/orders-v3/order/111-0814390-6514619
0,2,VF_BP-LOUI_FS1B/33,1,1,G12,781811102618,Standard,45487,112-6782474-1508206,2023-10-29T00:58:51+00:00,https://sellercentral.amazon.com/orders-v3/order/112-6782474-1508206
20,14,OT_HWPBBNB24_NBLK,7,7,nan,827298838746,Standard,HWPBBNB24,111-7081705-6512254,2023-10-29T01:11:37+00:00,https://sellercentral.amazon.com/orders-v3/order/111-7081705-6512254
58,0,BY_WYO_TT3314,1,1,nan,885160207236,Expedited,WYO,111-7473570-9467435,2023-10-29T01:12:21+00:00,https://sellercentral.amazon.com/orders-v3/order/111-7473570-9467435
20,3,OT_HWPBBDC24_30,1,1,nan,827298967545,Standard,HWPBBDC24,112-4173708-9309001,2023-10-29T01:25:22+00:00,https://sellercentral.amazon.com/orders-v3/order/112-4173708-9309001
20,0,OT_BRYNLEE_DRCHOSWI,1,1,,827298939085,Standard,QPOPBRY,111-8290725-4734646,2023-10-29T01:57:12+00:00,https://sellercentral.amazon.com/orders-v3/order/111-8290725-4734646
20,5,OT_ PQWPNBF42_1B,1,1,nan,827298944300,Standard,PQWPNBF42,113-3716341-8226605,2023-10-29T03:42:29+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3716341-8226605
20,7,OT_TEXTURED LOOSE CURL_DRCHOSWI,1,1,I1,827298883937,Standard,HWPTLC3,114-1385948-5448237,2023-10-29T04:43:34+00:00,https://sellercentral.amazon.com/orders-v3/order/114-1385948-5448237
20,0,AL_CECE_F1B30,1,1,F,660014690217,Standard,10652 F1B30,112-6671282-8134666,2023-10-29T04:51:58+00:00,https://sellercentral.amazon.com/orders-v3/order/112-6671282-8134666
0,11,OT_NIKAYA_2T1/350,1,1,C03,827298859543,Standard,QSNKA,112-7835577-7929810,2023-10-29T05:26:44+00:00,https://sellercentral.amazon.com/orders-v3/order/112-7835577-7929810
20,0,NBF_PLF04_FS4/30,1,1,nan,645719321741,Standard,PLF04-FS4/30,111-9179938-4986641,2023-10-29T05:55:51+00:00,https://sellercentral.amazon.com/orders-v3/order/111-9179938-4986641
20,1,OT_TOYA_1,1,1,G08,827298805618,Standard,QPNTOY,113-0267656-3205034,2023-10-29T06:39:52+00:00,https://sellercentral.amazon.com/orders-v3/order/113-0267656-3205034
